,gammas,conv_iters,threshold,max_value,times_api,times_real,policy_updates,policies,V,all_stats
0,0.05,2,0.18999999999999997,4.18,0.00012612342834472656,0.00036334991455078125,2,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.045000000000000005, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 4.18)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.361701965332031e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 4.18, 'Error': 0.17999999999999972, 'Time': 9.250640869140625e-05, 'Epsilon': 0.01, 'Max V': 4.18, 'Mean V': 1.0927083333333334}]"
1,0.1,3,0.09000000000000001,4.3933,0.00026297569274902344,0.00040650367736816406,3,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.09090000000000001, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 1.009, 4.3933)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.337860107421875e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 4.36, 'Error': 0.3600000000000003, 'Time': 8.988380432128906e-05, 'Epsilon': 0.01, 'Max V': 4.36, 'Mean V': 1.1020833333333333}, {'State': None, 'Action': None, 'Reward': 4.3933, 'Error': 0.032399999999999665, 'Time': 0.00013971328735351562, 'Epsilon': 0.01, 'Max V': 4.3933, 'Mean V': 1.1117583333333332}]"
2,0.15000000000000002,4,0.056666666666666664,4.62507025,0.0004436969757080078,0.0004467964172363281,4,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.13978912500000001, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 1.02055375, 4.62507025)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.218650817871094e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 4.54, 'Error': 0.54, 'Time': 8.797645568847656e-05, 'Epsilon': 0.01, 'Max V': 4.54, 'Mean V': 1.1114583333333332}, {'State': None, 'Action': None, 'Reward': 4.614925, 'Error': 0.07290000000000038, 'Time': 0.0001380443572998047, 'Epsilon': 0.01, 'Max V': 4.614925, 'Mean V': 1.1332270833333336}, {'State': None, 'Action': None, 'Reward': 4.62507025, 'Error': 0.009841500000000059, 'Time': 0.00018548965454101562, 'Epsilon': 0.01, 'Max V': 4.62507025, 'Mean V': 1.1340434114583333}]"
3,0.2,4,0.04,4.877248,0.0004506111145019531,0.0004534721374511719,4,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0)","(0.19015200000000002, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 1.03672, 4.877248)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.2901763916015625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 4.72, 'Error': 0.7199999999999998, 'Time': 8.96453857421875e-05, 'Epsilon': 0.01, 'Max V': 4.72, 'Mean V': 1.1208333333333333}, {'State': None, 'Action': None, 'Reward': 4.8532, 'Error': 0.12960000000000044, 'Time': 0.00014019012451171875, 'Epsilon': 0.01, 'Max V': 4.8532, 'Mean V': 1.1595333333333333}, {'State': None, 'Action': None, 'Reward': 4.877248, 'Error': 0.02332799999999957, 'Time': 0.00018787384033203125, 'Epsilon': 0.01, 'Max V': 4.877248, 'Mean V': 1.1614683333333333}]"
4,0.25,5,0.03,5.1659816406250005,0.0006806850433349609,0.0004973411560058594,5,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.24405820312499998, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.06085546875, 1.165981640625, 5.1659816406250005)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.266334533691406e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 4.9, 'Error': 0.9000000000000004, 'Time': 8.893013000488281e-05, 'Epsilon': 0.01, 'Max V': 4.9, 'Mean V': 1.1302083333333333}, {'State': None, 'Action': None, 'Reward': 5.108125, 'Error': 0.2024999999999999, 'Time': 0.00013899803161621094, 'Epsilon': 0.01, 'Max V': 5.108125, 'Mean V': 1.1928385416666665}, {'State': None, 'Action': None, 'Reward': 5.15509375, 'Error': 0.04556249999999995, 'Time': 0.00018668174743652344, 'Epsilon': 0.01, 'Max V': 5.15509375, 'Mean V': 1.1985162760416666}, {'State': None, 'Action': None, 'Reward': 5.1659816406250005, 'Error': 0.010251562500000727, 'Time': 0.0002334117889404297, 'Epsilon': 0.01, 'Max V': 5.1659816406250005, 'Mean V': 1.2022494303385418}]"
5,0.3,5,0.02333333333333333,5.48343913,0.0006902217864990234,0.0004963874816894531,5,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.30153248999999993, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.0900639, 1.4834391299999998, 5.48343913)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.2901763916015625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 5.08, 'Error': 1.08, 'Time': 9.012222290039062e-05, 'Epsilon': 0.01, 'Max V': 5.08, 'Mean V': 1.1429166666666666}, {'State': None, 'Action': None, 'Reward': 5.3797, 'Error': 0.29159999999999986, 'Time': 0.00014162063598632812, 'Epsilon': 0.01, 'Max V': 5.3797, 'Mean V': 1.2391041666666667}, {'State': None, 'Action': None, 'Reward': 5.460862, 'Error': 0.07873200000000002, 'Time': 0.0001895427703857422, 'Epsilon': 0.01, 'Max V': 5.460862, 'Mean V': 1.2489152916666664}, {'State': None, 'Action': None, 'Reward': 5.48343913, 'Error': 0.021257640000000244, 'Time': 0.00023603439331054688, 'Epsilon': 0.01, 'Max V': 5.48343913, 'Mean V': 1.2566563604166667}]"
6,0.35000000000000003,6,0.018571428571428565,5.85189520875625,0.0009768009185791016,0.0005466938018798828,6,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.367541088665625, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.12725445009375, 1.8518952087562501, 5.85189520875625)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.2901763916015625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 5.26, 'Error': 1.2599999999999998, 'Time': 9.083747863769531e-05, 'Epsilon': 0.01, 'Max V': 5.26, 'Mean V': 1.1597916666666668}, {'State': None, 'Action': None, 'Reward': 5.667925, 'Error': 0.3969000000000006, 'Time': 0.00014209747314453125, 'Epsilon': 0.01, 'Max V': 5.667925, 'Mean V': 1.2907135416666666}, {'State': None, 'Action': None, 'Reward': 5.7968072500000005, 'Error': 0.12502350000000018, 'Time': 0.00019025802612304688, 'Epsilon': 0.01, 'Max V': 5.7968072500000005, 'Mean V': 1.3062932447916666}, {'State': None, 'Action': None, 'Reward': 5.838634170625, 'Error': 0.03938240249999997, 'Time': 0.00023698806762695312, 'Epsilon': 0.01, 'Max V': 5.838634170625, 'Mean V': 1.3206345303385416}, {'State': None, 'Action': None, 'Reward': 5.85189520875625, 'Error': 0.012405456787500047, 'Time': 0.0002837181091308594, 'Epsilon': 0.01, 'Max V': 5.85189520875625, 'Mean V': 1.3226531232561198}]"
7,0.4,7,0.015,6.272009678848001,0.0013959407806396484,0.0006549358367919922,7,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.43961005670400005, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 1.1754803814399999, 2.272009678848, 6.272009678848001)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.2901763916015625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 5.44, 'Error': 1.4400000000000004, 'Time': 9.1552734375e-05, 'Epsilon': 0.01, 'Max V': 5.44, 'Mean V': 1.1766666666666667}, {'State': None, 'Action': None, 'Reward': 5.9728, 'Error': 0.5184000000000002, 'Time': 0.00014281272888183594, 'Epsilon': 0.01, 'Max V': 5.9728, 'Mean V': 1.3476666666666668}, {'State': None, 'Action': None, 'Reward': 6.165184, 'Error': 0.18662400000000012, 'Time': 0.00019097328186035156, 'Epsilon': 0.01, 'Max V': 6.165184, 'Mean V': 1.370922666666667}, {'State': None, 'Action': None, 'Reward': 6.23653888, 'Error': 0.06718464000000024, 'Time': 0.00024437904357910156, 'Epsilon': 0.01, 'Max V': 6.23653888, 'Mean V': 1.3953882666666668}, {'State': None, 'Action': None, 'Reward': 6.262393446400001, 'Error': 0.024186470400000326, 'Time': 0.00031256675720214844, 'Epsilon': 0.01, 'Max V': 6.262393446400001, 'Mean V': 1.399323844266667}, {'State': None, 'Action': None, 'Reward': 6.272009678848001, 'Error': 0.008707129343999753, 'Time': 0.0003807544708251953, 'Epsilon': 0.01, 'Max V': 6.272009678848001, 'Mean V': 1.4028632260266667}]"
8,0.45,8,0.012222222222222223,6.756607450557208,0.0016677379608154297,0.0006358623504638672,8,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0)","(0.5228980750361385, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 1.2341266615049853, 2.756607450557208, 6.756607450557208)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.266334533691406e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 5.62, 'Error': 1.62, 'Time': 9.059906005859375e-05, 'Epsilon': 0.01, 'Max V': 5.62, 'Mean V': 1.1935416666666667}, {'State': None, 'Action': None, 'Reward': 6.294325, 'Error': 0.6560999999999997, 'Time': 0.00014162063598632812, 'Epsilon': 0.01, 'Max V': 6.294325, 'Mean V': 1.4099635416666665}, {'State': None, 'Action': None, 'Reward': 6.56824675, 'Error': 0.26572050000000047, 'Time': 0.00018930435180664062, 'Epsilon': 0.01, 'Max V': 6.56824675, 'Mean V': 1.4430760885416667}, {'State': None, 'Action': None, 'Reward': 6.682543470625, 'Error': 0.10761680250000005, 'Time': 0.00023555755615234375, 'Epsilon': 0.01, 'Max V': 6.682543470625, 'Mean V': 1.4822652490885417}, {'State': None, 'Action': None, 'Reward': 6.72913423879375, 'Error': 0.04358480501250006, 'Time': 0.00028133392333984375, 'Epsilon': 0.01, 'Max V': 6.72913423879375, 'Mean V': 1.4893572877147137}, {'State': None, 'Action': None, 'Reward': 6.748629097300516, 'Error': 0.017651846030062757, 'Time': 0.00032591819763183594, 'Epsilon': 0.01, 'Max V': 6.748629097300516, 'Mean V': 1.4965326286796647}, {'State': None, 'Action': None, 'Reward': 6.756607450557208, 'Error': 0.00714899764217547, 'Time': 0.0003707408905029297, 'Epsilon': 0.01, 'Max V': 6.756607450557208, 'Mean V': 1.4980322028231352}]"
9,0.5,9,0.01,7.322501768476563,0.0028142929077148438,0.0008115768432617188,9,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.6185921347265625, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.308769155859375, 1.5225017684765625, 3.3225017684765628, 7.322501768476563)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.361701965332031e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 5.8, 'Error': 1.7999999999999998, 'Time': 0.00010776519775390625, 'Epsilon': 0.01, 'Max V': 5.8, 'Mean V': 1.2104166666666667}, {'State': None, 'Action': None, 'Reward': 6.6325, 'Error': 0.8100000000000005, 'Time': 0.00019121170043945312, 'Epsilon': 0.01, 'Max V': 6.6325, 'Mean V': 1.4776041666666668}, {'State': None, 'Action': None, 'Reward': 7.00825, 'Error': 0.3645000000000005, 'Time': 0.0002770423889160156, 'Epsilon': 0.01, 'Max V': 7.00825, 'Mean V': 1.523026041666667}, {'State': None, 'Action': None, 'Reward': 7.1824562499999995, 'Error': 0.16402499999999964, 'Time': 0.00033783912658691406, 'Epsilon': 0.01, 'Max V': 7.1824562499999995, 'Mean V': 1.586715625}, {'State': None, 'Action': None, 'Reward': 7.261358125, 'Error': 0.07381125000000055, 'Time': 0.00038814544677734375, 'Epsilon': 0.01, 'Max V': 7.261358125, 'Mean V': 1.6018015234375003}, {'State': None, 'Action': None, 'Reward': 7.298041140625, 'Error': 0.03321506249999995, 'Time': 0.0004360675811767578, 'Epsilon': 0.01, 'Max V': 7.298041140625, 'Mean V': 1.6163411640624998}, {'State': None, 'Action': None, 'Reward': 7.3147218953125, 'Error': 0.014946778125000115, 'Time': 0.0004963874816894531, 'Epsilon': 0.01, 'Max V': 7.3147218953125, 'Mean V': 1.6200991834960938}, {'State': None, 'Action': None, 'Reward': 7.322501768476563, 'Error': 0.006726050156250607, 'Time': 0.0005462169647216797, 'Epsilon': 0.01, 'Max V': 7.322501768476563, 'Mean V': 1.6233950232226564}]"
10,0.55,10,0.00818181818181818,7.992124283392995,0.0025713443756103516,0.0007390975952148438,10,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.7333995218133256, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 1.4017050832714353, 2.012124283392994, 3.9921242833929944, 7.992124283392995)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.314018249511719e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 5.98, 'Error': 1.9800000000000004, 'Time': 9.131431579589844e-05, 'Epsilon': 0.01, 'Max V': 5.98, 'Mean V': 1.2272916666666667}, {'State': None, 'Action': None, 'Reward': 6.987325, 'Error': 0.9801000000000004, 'Time': 0.00014162063598632812, 'Epsilon': 0.01, 'Max V': 6.987325, 'Mean V': 1.5505885416666672}, {'State': None, 'Action': None, 'Reward': 7.48744825, 'Error': 0.4851494999999997, 'Time': 0.0001900196075439453, 'Epsilon': 0.01, 'Max V': 7.48744825, 'Mean V': 1.620221078125}, {'State': None, 'Action': None, 'Reward': 7.7425036206249995, 'Error': 0.24014900249999982, 'Time': 0.0002372264862060547, 'Epsilon': 0.01, 'Max V': 7.7425036206249995, 'Mean V': 1.71517711375}, {'State': None, 'Action': None, 'Reward': 7.869575879331251, 'Error': 0.1188737562375013, 'Time': 0.00028395652770996094, 'Epsilon': 0.01, 'Max V': 7.869575879331251, 'Mean V': 1.7394731040425782}, {'State': None, 'Action': None, 'Reward': 7.934562079174892, 'Error': 0.0588425093375633, 'Time': 0.0003299713134765625, 'Epsilon': 0.01, 'Max V': 7.934562079174892, 'Mean V': 1.7652309643278439}, {'State': None, 'Action': None, 'Reward': 7.967068151075328, 'Error': 0.029127042122093716, 'Time': 0.0003757476806640625, 'Epsilon': 0.01, 'Max V': 7.967068151075328, 'Mean V': 1.7725542810602206}, {'State': None, 'Action': None, 'Reward': 7.983745000133031, 'Error': 0.014417885850436685, 'Time': 0.00042128562927246094, 'Epsilon': 0.01, 'Max V': 7.983745000133031, 'Mean V': 1.7796192062176333}, {'State': None, 'Action': None, 'Reward': 7.992124283392995, 'Error': 0.0071368534959666, 'Time': 0.00046706199645996094, 'Epsilon': 0.01, 'Max V': 7.992124283392995, 'Mean V': 1.781828084892542}]"
11,0.6000000000000001,12,0.0066666666666666645,8.802728347379993,0.0036613941192626953,0.0008265972137451172,12,"(0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0)","(0.8742347088411894, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 1.5231861454475681, 2.642728347379993, 4.802728347379993, 8.802728347379993)","[{'State': None, 'Action': None, 'Reward': 4.0, 'Error': 4.0, 'Time': 3.2901763916015625e-05, 'Epsilon': 0.01, 'Max V': 4.0, 'Mean V': 1.0833333333333333}, {'State': None, 'Action': None, 'Reward': 6.16, 'Error': 2.16, 'Time': 9.226799011230469e-05, 'Epsilon': 0.01, 'Max V': 6.16, 'Mean V': 1.2441666666666666}, {'State': None, 'Action': None, 'Reward': 7.3588000000000005, 'Error': 1.1664000000000003, 'Time': 0.0001430511474609375, 'Epsilon': 0.01, 'Max V': 7.3588000000000005, 'Mean V': 1.6289166666666668}, {'State': None, 'Action': None, 'Reward': 8.008096000000002, 'Error': 0.6298560000000013, 'Time': 0.0001914501190185547, 'Epsilon': 0.01, 'Max V': 8.008096000000002, 'Mean V': 1.728433}, {'State': None, 'Action': None, 'Reward': 8.369330080000001, 'Error': 0.3401222400000008, 'Time': 0.00023889541625976562, 'Epsilon': 0.01, 'Max V': 8.369330080000001, 'Mean V': 1.8629189200000003}, {'State': None, 'Action': None, 'Reward': 8.565663193600003, 'Error': 0.18366600960000135, 'Time': 0.000286102294921875, 'Epsilon': 0.01, 'Max V': 8.565663193600003, 'Mean V': 1.9004574628000004}, {'State': None, 'Action': None, 'Reward': 8.675198091328003, 'Error': 0.09917964518400113, 'Time': 0.000331878662109375, 'Epsilon': 0.01, 'Max V': 8.675198091328003, 'Mean V': 1.9438725970720006}, {'State': None, 'Action': None, 'Reward': 8.734968251253761, 'Error': 0.053557008399360395, 'Time': 0.00037741661071777344, 'Epsilon': 0.01, 'Max V': 8.734968251253761, 'Mean V': 1.9573382601524807}, {'State': None, 'Action': None, 'Reward': 8.768420281831247, 'Error': 0.028920784535655275, 'Time': 0.000423431396484375, 'Epsilon': 0.01, 'Max V': 8.768420281831247, 'Mean V': 1.971509767706196}, {'State': None, 'Action': None, 'Reward': 8.786756253105597, 'Error': 0.015617223649253775, 'Time': 0.00046896934509277344, 'Epsilon': 0.01, 'Max V': 8.786756253105597, 'Mean V': 1.9763433477004637}, {'State': None, 'Action': None, 'Reward': 8.797055060805992, 'Error': 0.008433300770597452, 'Time': 0.0005147457122802734, 'Epsilon': 0.01, 'Max V': 8.797055060805992, 'Mean V': 1.9810199548871268}, {'State': None, 'Action': None, 'Reward': 8.802728347379993, 'Error': 0.004553982416123148, 'Time': 0.0005602836608886719, 'Epsilon': 0.01, 'Max V': 8.802728347379993, 'Mean V': 1.9827559441638556}]"
